"player","team","position","id","avg_type","pass_yds","pass_yds_sd","pass_tds","pass_tds_sd","pass_int","pass_int_sd","rush_yds","rush_yds_sd","rush_tds","rush_tds_sd","fumbles_lost","fumbles_lost_sd","two_pts","two_pts_sd","return_tds","return_tds_sd","rec_yds","rec_yds_sd","rec_tds","rec_tds_sd","fg_0019","fg_0019_sd","fg_2029","fg_2029_sd","fg_3039","fg_3039_sd","fg_4049","fg_4049_sd","fg_50","fg_50_sd","xp","xp_sd","dst_int","dst_int_sd","dst_sacks","dst_sacks_sd","dst_safety","dst_safety_sd","dst_td","dst_td_sd","dst_blk","dst_blk_sd","idp_solo","idp_solo_sd","idp_sack","idp_sack_sd","idp_int","idp_int_sd","idp_pd","idp_pd_sd","idp_td","idp_td_sd","birthdate","draft_year","injury_status","injury_details","season_year","week"
"J.J. McCarthy","MIN","QB","16584","weighted",3960.09834911019,175.872408694674,28.0847482014388,1.8380430309935,13.7400605831125,1.79407427211231,268.951700113593,54.7110078699656,2.08203710715638,0.936725737288271,3.74485043544112,0.343670968542477,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2003-01-20,2024,NA,NA,NA,NA
"Jayden Daniels","WAS","QB","16581","weighted",3792.27116243847,157.192047200078,27.7633396440742,2.81858705194389,10.2966452101477,1.3178181639132,796.156569481257,111.884115925735,6.06481635744036,1.26020231431042,1.56950965543355,0.783215959340901,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000-12-18,2024,NA,NA,NA,NA
"Kyler Murray","ARI","QB","14056","weighted",3810.78433926543,175.970383294985,25.1513593335858,4.14630973294013,11.1000151457781,0.855184506310805,547.39092010602,29.8520138891076,4.88581597879591,0.805385775428269,3.09635554714123,0.112081226135166,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1970-01-01,2019,NA,NA,NA,NA
"Jordan Love","GB","QB","14782","weighted",3832.07763725861,203.741203209689,28.2434532374101,2.05282407797115,11.8456569481257,1.12442561475687,164.661014767134,34.5001314875311,2.02381673608482,0.216705997472033,1.9044964028777,0.576601827663817,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1970-01-01,2020,NA,NA,NA,NA
"Sam Darnold","SEA","QB","13592","weighted",3752.32790609618,243.80340479662,23.7223930329421,2.75170165772438,13.3080045437334,2.82890544829751,204.738167360848,36.5374101921331,1.68346838318819,0.901209004686328,2.565959863688,0.644182684756162,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1997-06-05,2018,NA,NA,NA,NA
"Bo Nix","DEN","QB","16582","weighted",3786.88402120409,154.062736848339,28.5443316925407,3.30029401884268,12.143309352518,0.970835579887958,441.389034456645,33.68008955522,3.36524801211662,0.793035808267631,1.40165656948126,0.834375484172218,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000-02-25,2024,NA,NA,NA,NA
"Aaron Rodgers","PIT","QB","7836","weighted",3747.88500567967,158.023887676214,25.3528663385081,4.422904833071,10.3082468761833,1.76243695412893,97.5251798561151,62.1983924747918,0.94710336993563,0.910341506523179,2.82859712230216,0.407499763055093,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1983-12-02,2005,NA,NA,NA,NA
"Bryce Young","CAR","QB","16148","weighted",3554.4020068156,290.157915633968,23.1139795531995,4.60974736255886,11.4927830367285,1.09872018014271,301.058424839076,17.6905106085331,3.96973873532753,0.750328212802823,3.37906096175691,0.642028426854923,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2001-07-25,2023,NA,NA,NA,NA
"Cam Ward","TEN","QB","17030","weighted",3529.75613782658,336.298805245953,21.9717001135933,1.69356999585205,12.9502612646725,1.8814709680357,318.615145778114,119.018108269383,2.45898523286634,1.3272837666915,3.98761832639152,0.0352260295704588,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2002-05-25,2025,NA,NA,NA,NA
"Kirk Cousins","ATL","QB","10700","weighted",1365.22374547336,1759.81747125238,8.39085359544749,10.2830964349476,4.81135023279876,5.63570929816241,18.7946197620279,19.2643319293771,0,0,0.714709432660804,0.147908431874467,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1988-08-19,2012,NA,NA,NA,NA
"Russell Wilson","NYG","QB","10703","weighted",2892.31669822037,601.469776040906,18.0118212798182,6.48266494618645,8.0930859522908,2.31309205154477,211.774358197652,90.4096745954489,1.8769935630443,0.663161410764094,3.50185535781901,0.826801019439087,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1988-11-29,2012,NA,NA,NA,NA
"Drake Maye","NE","QB","16580","weighted",3540.53307080651,173.098857868087,23.9412192351382,3.57730763574877,12.6327754638395,1.05731688791674,517.112624006058,102.59351918508,3.22303672851193,0.795978217334558,5.10775274517228,0.67220302241111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2002-08-30,2024,NA,NA,NA,NA
"Jalen Hurts","PHI","QB","14783","weighted",3393.42517228323,229.639578893635,23.1050662627793,1.7094446704647,7.98814842862552,1.4678948736155,643.098046194623,68.2795976702616,12.9674441499432,1.16522576557436,3.76038432411965,0.344181520637788,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1970-01-01,2020,NA,NA,NA,NA
"Daniel Jones","IND","QB","14059","weighted",2554.10567966679,875.050809201661,15.8774706550549,7.53516746702679,9.11525179856115,3.70651231742061,343.013381294964,139.708115372341,3.10356683074593,1.2332235448186,3.45371071563802,0.271312840139137,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1970-01-01,2019,NA,NA,NA,NA
"Spencer Rattler","NO","QB","16586","weighted",2522.04519491525,1021.17648639481,15.364686440678,9.25863227233713,8.64238983050847,3.40854120210365,206.645898305085,100.999196510992,1.06158474576271,0.605804629379388,4.0135593220339,1.00239338300975,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000-09-28,2024,NA,NA,NA,NA
"Justin Fields","NYJ","QB","15238","weighted",3247.55977281333,261.868949863146,20.8944187807649,6.03357505125195,10.7835516849678,1.43071834701935,682.451510791367,198.35211422693,5.82164331692541,1.96848053963752,2.38634986747444,0.902320696758911,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1970-01-01,2021,NA,NA,NA,NA
"Anthony Richardson","IND","QB","16152","weighted",1262.4560545248,1035.30576190074,8.27966679288149,7.5760793462962,5.15684210526316,3.7293091526787,287.594358197652,238.664023570171,2.77771298750473,2.416373921298,0.885810299129118,0.56210577527957,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2002-05-22,2023,NA,NA,NA,NA
"Tyler Shough","NO","QB","17039","weighted",1231.65524422567,876.586540467991,6.57294206739871,5.14841129547772,4.90855736463461,4.92015726096819,88.0461946232488,59.9305318942461,0.547444149943203,0.602234134466994,0.761766376372586,0.624455709490437,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1999-09-28,2025,NA,NA,NA,NA
"Jaxson Dart","NYG","QB","17032","weighted",778.80629661017,641.303253075889,4.52325423728814,3.66858857666831,2.96877966101695,2.50323719140563,63.6190677966102,61.8307234231128,0.558050847457627,0.78314429984472,0.441949152542373,0.34660419765021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2003-05-13,2025,NA,NA,NA,NA
"Shedeur Sanders","CLE","QB","17031","weighted",821.099016107967,480.512634907436,4.45367871136265,2.77263398549231,3.04483239007401,1.95415845114059,36.7104919460165,23.436843574763,0.472659991292991,0.499832802816251,0.619503700478885,0.299807205941644,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2002-02-07,2025,NA,NA,NA,NA
"Dillon Gabriel","CLE","QB","17037","weighted",721.338076545633,456.996605019601,4.0400883218842,2.30472453254495,2.42075564278705,1.54735977429211,40.8110893032385,28.4430631323669,0.37724393872615,0.502865998912413,0.620853778213935,0.335690449178723,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000-12-28,2025,NA,NA,NA,NA
"Deshaun Watson","CLE","QB","13113","weighted",963.65296803653,262.336615820209,7.82785388127854,6.85893577750951,6.57899543378995,6.50538238691624,72.310502283105,58.6898628384834,0.248858447488584,0.353553390593274,2.32146118721461,1.09601551083915,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1995-09-14,2017,NA,"Achilles",2025,0
"Aidan O'Connell","LVR","QB","16159","weighted",341.939617083947,414.80919865452,2.28107511045655,2.57167724422947,1.10441826215022,1.30990084848932,5.06553755522828,3.67081037953662,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1998-09-01,2023,"IR","Wrist",2025,0
"Jameis Winston","NYG","QB","12140","weighted",314.282687651332,375.146890466437,1.92324455205811,2.0516324987373,1.2567191283293,1.74338309263998,14.5199757869249,13.8800457856826,0.0237772397094431,0.0432132354505789,0.0395883777239709,0.0366080203554789,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1994-01-06,2015,NA,NA,NA,NA
"Mason Rudolph","PIT","QB","13595","weighted",343.779773510586,328.913045451795,2.37648449039882,2.86039305119023,0.947227966518956,1.02450259334048,71.301733136386,108.400418884325,0.433559822747415,0.956989774582483,0.38421139011981,0.324676217704068,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1995-07-17,2018,NA,NA,NA,NA
"Gardner Minshew","KC","QB","14067","weighted",307.447485311398,216.28495004511,2.39977673325499,2.38009501093456,1.51475910693302,1.80452515239659,13.3031727379553,10.2070910430046,0,0,1.56989815902859,0.592734227284754,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1970-01-01,2019,NA,NA,NA,NA
"Jake Browning","CIN","QB","14358","weighted",295.680317460317,212.38978105396,2.75186696900983,2.08259765201051,0.875948601662887,0.970709284018761,17.2955404383976,17.7763932921897,0.222448979591837,0.448331968868381,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1970-01-01,2019,NA,NA,NA,NA
"Kenny Pickett","LVR","QB","15692","weighted",248.156659108088,213.430693855392,2.07275888133031,2.61753750883786,0.824459561602419,0.947073643747783,13.6054421768707,10.1612526044902,0.123582766439909,0.249073316037989,0.65830183925422,0.672935055648397,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1998-06-06,2022,NA,NA,NA,NA
"Cooper Rush","BAL","QB","13124","weighted",226.286167800454,192.187392438102,1.9686470143613,2.35298151833602,0.76042328042328,0.872243792038793,15.7513227513228,14.6586423984121,0,0,0.613429075333837,0.292637670708116,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017,NA,NA,NA,NA
"Marcus Mariota","WAS","QB","12141","weighted",268.745593419506,191.655096623201,2.51639247943596,2.53350091153585,0.424441833137485,0.6027732570417,57.6727379553466,54.0463803998875,0.386016451233843,0.544547641110021,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1993-10-30,2015,NA,NA,NA,NA
"Tyrod Taylor","NYJ","QB","10413","weighted",224.984601694915,162.040859758151,1.91303389830508,2.79244535846429,1.04747457627119,1.14923536320126,34.6754237288136,33.9651164488074,0,0,0.482415254237288,0.288572783663681,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1989-08-03,2011,NA,NA,NA,NA
"Andy Dalton","CAR","QB","10313","weighted",209.175287896592,143.080503542252,1.99794359576968,1.34754926112796,1.10745005875441,0.583834794599675,8.18507638072855,6.51558566073695,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1987-10-29,2011,NA,NA,NA,NA
"Will Levis","TEN","QB","16149","weighted",259.27397260274,239.70919882224,1.95479452054795,1.48492424049175,1.50228310502283,0.707106781186547,21.0547945205479,16.9705627484771,0,0,0.6,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1999-06-27,2023,"IR","Shoulder",2025,0
"Drew Lock","SEA","QB","14057","weighted",215.101647770219,145.129850814858,1.78778533635677,1.41390049898244,1.33596371882086,0.808163022568577,14.8314436885865,10.2645606209992,0.0247165532879819,0.0498146632075979,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1970-01-01,2019,NA,NA,NA,NA
