"Player","Year","Snaps","Outside%","LWide%","RWide%","Slot%","Backfield%","Off LOS%","On LOS%"
"Zay Flowers","2024","407","58.7%","26.5%","32.2%","31.2%","10.1%","77.6%","22.4%"
"Dontayvion Wicks","2024","360","64.2%","30.0%","34.2%","29.2%","6.7%","50.0%","50.0%"
"Marvin Mims","2024","192","43.2%","18.8%","24.5%","26.0%","30.7%","76.0%","24.0%"
"Quentin Johnston","2024","374","86.9%","61.5%","25.4%","11.8%","1.3%","15.2%","84.8%"
"Jameson Williams","2024","433","67.2%","33.0%","34.2%","27.9%","4.8%","33.5%","66.5%"
"George Pickens","2024","442","79.9%","51.8%","28.1%","20.1%","0.0%","18.6%","81.4%"
"Garrett Wilson","2024","508","75.8%","40.4%","35.4%","20.5%","2.8%","32.1%","67.9%"
"Chris Olave","2024","325","79.1%","45.2%","33.8%","19.7%","1.2%","31.7%","68.3%"
"Khalil Shakir","2024","344","27.6%","12.5%","15.1%","63.1%","9.3%","78.5%","21.5%"
"Drake London","2024","486","59.9%","23.3%","36.6%","38.9%","1.2%","52.7%","47.3%"
"Tyreek Hill","2024","422","69.7%","27.7%","41.9%","27.0%","3.3%","41.9%","58.1%"
"Nico Collins","2024","440","82.3%","48.6%","33.6%","16.1%","1.6%","16.6%","83.4%"
"D.J. Moore","2024","500","76.8%","52.4%","24.4%","18.2%","5.0%","23.4%","76.6%"
"Terry McLaurin","2024","437","82.6%","72.3%","10.3%","15.6%","1.8%","37.1%","62.9%"
"Calvin Ridley","2024","464","77.2%","30.0%","47.2%","17.7%","5.2%","49.6%","50.4%"
"Jauan Jennings","2024","436","64.4%","31.7%","32.8%","33.3%","2.3%","32.3%","67.7%"
"Jerry Jeudy","2024","539","63.3%","26.9%","36.4%","33.8%","3.0%","59.4%","40.6%"
"Courtland Sutton","2024","443","86.2%","48.5%","37.7%","12.6%","1.1%","20.8%","79.2%"
"Jaylen Waddle","2024","431","76.6%","41.3%","35.3%","22.7%","0.7%","17.6%","82.4%"
"DeVonta Smith","2024","511","48.9%","22.3%","26.6%","46.0%","5.1%","61.3%","38.7%"
"Amon-Ra St. Brown","2024","495","50.7%","23.6%","27.1%","42.8%","6.5%","61.6%","38.4%"
"A.J. Brown","2024","482","82.0%","39.4%","42.5%","16.6%","1.5%","30.1%","69.9%"
"Josh Palmer","2024","364","64.8%","19.2%","45.6%","33.0%","2.2%","46.7%","53.3%"
"Mike Evans","2024","417","71.7%","46.5%","25.2%","28.3%","0.0%","15.1%","84.9%"
"Justin Jefferson","2024","468","78.2%","45.5%","32.7%","17.9%","3.8%","31.0%","69.0%"
"CeeDee Lamb","2024","426","47.7%","24.2%","23.5%","47.2%","5.2%","61.0%","39.0%"
"Ja'Marr Chase","2024","505","67.5%","35.8%","31.7%","26.9%","5.5%","40.0%","60.0%"
"Rashod Bateman","2024","373","88.2%","41.8%","46.4%","9.1%","2.7%","18.8%","81.2%"
"Tee Higgins","2023","434","81.6%","38.0%","43.5%","17.3%","1.2%","42.2%","57.8%"
"Mike Evans","2023","419","76.1%","52.3%","23.9%","23.9%","0.0%","16.7%","83.3%"
"Calvin Ridley","2023","467","81.8%","42.8%","39.0%","17.6%","0.6%","21.2%","78.8%"
"Marquise Brown","2023","468","82.9%","42.7%","40.2%","16.2%","0.9%","22.6%","77.4%"
"Michael Pittman","2023","514","69.6%","34.8%","34.8%","27.4%","2.9%","56.2%","43.8%"
"Gabe Davis","2023","456","78.5%","39.0%","39.5%","16.9%","4.6%","33.6%","66.4%"
"Jerry Jeudy","2023","328","41.2%","19.8%","21.3%","54.3%","4.6%","64.3%","35.7%"
"Keenan Allen","2023","469","36.7%","16.0%","20.7%","57.4%","6.0%","72.5%","27.5%"
"Drake London","2023","450","78.0%","48.2%","29.8%","21.6%","0.4%","17.6%","82.4%"
"Curtis Samuel","2023","359","27.6%","14.5%","13.1%","65.5%","7.0%","77.7%","22.3%"
"Diontae Johnson","2023","393","76.3%","36.1%","40.2%","21.1%","2.5%","39.4%","60.6%"
"Stefon Diggs","2023","383","65.0%","32.4%","32.6%","31.6%","3.4%","54.0%","46.0%"
"Jaxon Smith-Njigba","2023","325","34.8%","18.2%","16.6%","62.2%","3.1%","65.2%","34.8%"
"Zay Flowers","2023","470","64.3%","29.4%","34.9%","29.6%","6.2%","70.9%","29.1%"
"Puka Nacua","2023","510","64.5%","25.1%","39.4%","24.1%","11.4%","49.6%","50.4%"
"Jayden Reed","2023","288","22.6%","11.5%","11.1%","66.7%","10.8%","70.8%","29.2%"
"Jordan Addison","2023","414","72.2%","32.4%","39.9%","22.2%","5.6%","50.7%","49.3%"
"Tank Dell","2023","426","75.8%","32.9%","43.0%","19.0%","5.2%","46.5%","53.5%"
"Quentin Johnston","2023","389","91.3%","49.9%","41.4%","7.5%","1.3%","26.0%","74.0%"
"Josh Downs","2023","433","23.3%","11.1%","12.2%","71.8%","4.8%","78.8%","21.2%"
"Dontayvion Wicks","2023","308","64.6%","29.2%","35.4%","30.2%","5.2%","54.9%","45.1%"
"Nico Collins","2023","387","83.2%","47.0%","36.2%","16.8%","0.0%","10.9%","89.1%"
"Jahan Dotson","2023","454","59.9%","28.2%","31.7%","39.2%","0.9%","55.7%","44.3%"
"Jameson Williams","2023","354","72.6%","38.7%","33.9%","25.4%","2.0%","14.4%","85.6%"
"George Pickens","2023","441","79.6%","40.6%","39.0%","20.2%","0.2%","18.1%","81.9%"
"Chris Olave","2023","408","56.6%","23.3%","33.3%","39.5%","3.9%","69.6%","30.4%"
"Garrett Wilson","2023","468","72.0%","40.6%","31.4%","25.0%","3.0%","32.3%","67.7%"
"Christian Watson","2023","432","58.3%","25.7%","32.6%","35.4%","6.3%","54.6%","45.4%"
"Ja'Marr Chase","2023","497","72.2%","41.2%","31.0%","23.9%","3.8%","40.2%","59.8%"
"Amon-Ra St. Brown","2023","467","49.7%","24.4%","25.3%","44.3%","6.0%","62.1%","37.9%"
"DeVonta Smith","2023","513","72.7%","35.1%","37.6%","25.0%","2.3%","38.2%","61.8%"
"Rashee Rice","2023","357","52.4%","27.7%","24.6%","45.4%","2.2%","43.4%","56.6%"
"Jaylen Waddle","2023","398","78.4%","40.7%","37.7%","17.8%","3.8%","18.8%","81.2%"
"Michael Wilson","2023","459","73.2%","34.2%","39.0%","25.1%","1.7%","39.9%","60.1%"
"Demario Douglas","2023","363","40.8%","18.5%","22.3%","50.1%","9.1%","81.5%","18.5%"
"Rashid Shaheed","2023","332","53.0%","25.3%","27.7%","40.4%","6.6%","55.1%","44.9%"
"Brandon Aiyuk","2023","425","80.0%","45.2%","34.8%","18.8%","1.2%","16.0%","84.0%"
"Cooper Kupp","2023","513","31.8%","21.2%","10.5%","60.8%","7.4%","81.9%","18.1%"
"A.J. Brown","2023","540","74.8%","36.3%","38.5%","23.1%","2.0%","56.3%","43.7%"
"CeeDee Lamb","2023","454","45.4%","27.1%","18.3%","52.4%","2.2%","55.9%","44.1%"
"Justin Jefferson","2023","500","73.8%","41.6%","32.2%","23.4%","2.8%","33.8%","66.2%"
"Davante Adams","2023","457","87.5%","54.7%","32.8%","11.2%","1.3%","14.2%","85.8%"
"Tyreek Hill","2023","365","62.7%","29.9%","32.9%","33.7%","3.6%","43.3%","56.7%"
"Rashod Bateman","2023","344","93.0%","48.5%","44.5%","6.7%","0.3%","13.1%","86.9%"
"Isaiah Hodgins*","2022","350","83.4%","46.9%","36.6%","16.0%","0.6%","18.6%","81.4%"
"Jakobi Meyers","2022","440","38.9%","12.5%","26.4%","56.6%","4.5%","72.0%","28.0%"
"Mike Evans","2022","519","75.0%","37.0%","38.0%","24.7%","0.4%","12.5%","87.5%"
"JuJu Smith-Schuster","2022","354","60.2%","31.4%","28.8%","39.3%","0.6%","37.0%","63.0%"
"D.J. Chark","2022","413","80.4%","44.3%","36.1%","19.6%","0.0%","9.7%","90.3%"
"DeAndre Hopkins","2022","486","75.3%","64.2%","11.1%","24.3%","0.4%","43.4%","56.6%"
"Michael Thomas*","2022","141","83.0%","46.8%","36.2%","17.0%","0.0%","31.2%","68.8%"
"Allen Lazard","2022","462","59.7%","29.2%","30.5%","35.3%","5.0%","58.0%","42.0%"
"Parris Campbell","2022","437","24.0%","11.0%","13.0%","71.6%","4.3%","76.7%","23.3%"
"Chris Olave","2022","365","67.1%","29.6%","37.5%","30.4%","2.5%","64.4%","35.6%"
"D.J. Moore","2022","471","68.4%","35.2%","33.1%","27.8%","3.8%","65.4%","34.6%"
"Garrett Wilson","2022","427","64.4%","38.6%","25.8%","33.0%","2.6%","41.2%","58.8%"
"Elijah Moore","2022","468","58.5%","32.7%","25.9%","35.5%","6.0%","30.6%","69.4%"
"Brandin Cooks","2022","398","74.6%","37.2%","37.4%","23.6%","1.8%","64.1%","35.9%"
"Christian Watson","2022","343","69.4%","35.9%","33.5%","25.9%","4.7%","37.3%","62.7%"
"George Pickens","2022","412","83.0%","39.6%","43.4%","15.3%","1.7%","29.6%","70.4%"
"Drake London","2022","393","86.0%","53.9%","32.1%","12.7%","1.3%","15.0%","85.0%"
"Treylon Burks","2022","321","83.5%","47.4%","36.1%","15.9%","0.6%","25.2%","74.8%"
"Jahan Dotson","2022","469","69.9%","25.8%","44.1%","26.2%","3.8%","66.1%","33.9%"
"Alec Pierce","2022","335","94.9%","44.2%","50.7%","5.1%","0.0%","9.9%","90.1%"
"Skyy Moore","2022","220","52.3%","27.7%","24.5%","40.0%","7.7%","42.3%","57.7%"
"Wan'Dale Robinson*","2022","229","28.8%","18.3%","10.5%","67.7%","3.5%","90.4%","9.6%"
"Romeo Doubs","2022","351","74.6%","38.5%","36.2%","22.2%","3.1%","39.3%","60.7%"
"Brandon Aiyuk","2022","423","81.3%","47.5%","33.8%","15.6%","3.1%","16.1%","83.9%"
"Ja'Marr Chase","2022","491","77.6%","45.6%","32.0%","18.9%","3.5%","34.0%","66.0%"
"Michael Pittman","2022","538","70.8%","37.5%","33.3%","27.3%","1.9%","60.2%","39.8%"
"Amon-Ra St. Brown","2022","468","40.8%","19.9%","20.9%","48.7%","10.5%","76.1%","23.9%"
"Jerry Jeudy","2022","455","57.4%","26.4%","31.0%","37.1%","5.5%","55.4%","44.6%"
"Jaylen Waddle","2022","402","75.1%","43.0%","32.1%","21.6%","3.2%","22.1%","77.9%"
"DeVonta Smith","2022","516","80.6%","35.7%","45.0%","18.4%","1.0%","30.0%","70.0%"
"Justin Jefferson","2022","495","72.5%","44.2%","28.3%","21.4%","6.1%","32.5%","67.5%"
"CeeDee Lamb","2022","501","41.9%","20.8%","21.2%","51.1%","7.0%","65.3%","34.7%"
"Tee Higgins","2022","469","80.0%","39.2%","40.7%","17.7%","2.3%","53.1%","46.9%"
"Kadarius Toney","2022","127","55.1%","24.4%","30.7%","27.6%","17.3%","69.3%","30.7%"
"Nico Collins","2022","375","89.6%","53.6%","36.0%","9.9%","0.5%","19.5%","80.5%"
"Gabe Davis","2022","474","85.2%","44.9%","40.3%","12.4%","2.3%","27.8%","72.2%"
"Deebo Samuel","2022","403","63.3%","33.5%","29.8%","18.1%","18.6%","58.6%","41.4%"
"Stefon Diggs","2022","418","68.4%","31.6%","36.8%","31.1%","0.5%","43.5%","56.5%"
"Diontae Johnson","2022","483","88.2%","46.4%","41.8%","10.6%","1.2%","15.5%","84.5%"
"DK Metcalf","2022","428","85.0%","64.3%","20.8%","14.3%","0.7%","14.3%","85.7%"
"Terry McLaurin","2022","501","83.4%","56.1%","27.3%","15.6%","1.0%","5.4%","94.6%"
"A.J. Brown","2022","437","68.0%","39.1%","28.8%","29.1%","3.0%","54.2%","45.8%"
"Davante Adams","2022","462","76.6%","46.3%","30.3%","22.3%","1.1%","25.8%","74.2%"
"Keenan Allen","2022","469","38.4%","16.4%","22.0%","57.1%","4.5%","65.0%","35.0%"
"Amari Cooper","2022","426","80.0%","38.5%","41.5%","19.2%","0.7%","30.3%","69.7%"
"Tyler Lockett","2022","403","60.0%","13.9%","46.2%","34.0%","6.0%","52.9%","47.1%"
"Cooper Kupp","2022","500","42.4%","19.6%","22.8%","46.6%","11.0%","72.0%","28.0%"
"Tyreek Hill","2022","371","55.5%","24.8%","30.7%","36.9%","7.5%","46.4%","53.6%"
"Marquise Brown","2022","504","61.7%","48.6%","13.1%","35.7%","2.6%","44.0%","56.0%"
"Christian Kirk","2022","433","22.4%","15.5%","6.9%","73.9%","3.7%","54.0%","46.0%"
"Mike Williams","2022","512","84.4%","49.8%","34.6%","15.4%","0.2%","21.9%","78.1%"
"Chris Godwin","2022","523","33.1%","15.3%","17.8%","62.7%","4.0%","77.4%","22.4%"
"Davante Adams","2021","437","69.3%","38.9%","30.4%","29.5%","1.1%","29.7%","70.3%"
"Odell Beckham","2021","433","82.9%","46.7%","36.3%","14.8%","2.3%","20.1%","79.9%"
"Allen Robinson","2021","410","67.6%","38.0%","29.5%","31.0%","1.5%","32.9%","67.1%"
"Amari Cooper","2021","486","66.3%","30.5%","35.8%","32.1%","1.6%","76.5%","23.5%"
"D.J. Chark*","2021","175","92.0%","60.6%","31.4%","8.0%","0.0%","13.7%","86.3%"
"JuJu Smith-Schuster*","2021","228","22.8%","13.6%","9.2%","74.1%","3.1%","77.6%","22.4%"
"Russell Gage","2021","373","60.1%","31.6%","28.4%","37.5%","2.4%","38.3%","61.7%"
"Jarvis Landry","2021","405","40.5%","18.8%","21.7%","53.6%","5.9%","80.0%","20.0%"
"Christian Kirk","2021","468","23.9%","9.6%","14.3%","73.5%","2.6%","43.6%","56.4%"
"Marquez Valdes-Scantling","2021","353","71.7%","29.2%","42.5%","24.1%","4.2%","59.5%","40.5%"
"Ja'Marr Chase","2021","448","84.8%","48.4%","36.4%","12.7%","2.5%","14.3%","85.7%"
"Jaylen Waddle","2021","469","48.0%","26.4%","21.5%","47.3%","4.7%","65.5%","34.5%"
"Amon-Ra St. Brown","2021","387","24.8%","12.4%","12.4%","70.5%","4.7%","80.4%","19.6%"
"DeVonta Smith","2021","438","86.1%","45.7%","40.4%","13.0%","0.9%","22.6%","77.4%"
"Elijah Moore","2021","375","72.3%","42.4%","29.9%","22.9%","4.8%","27.2%","72.8%"
"Rashod Bateman","2021","433","83.6%","64.9%","18.7%","16.2%","0.2%","24.0%","76.0%"
"Joshua Palmer","2021","307","60.9%","29.6%","31.3%","33.9%","5.2%","44.3%","55.7%"
"Nico Collins","2021","346","85.8%","50.3%","35.5%","13.9%","0.3%","6.1%","93.9%"
"Kadarius Toney","2021","288","34.4%","12.2%","22.2%","56.9%","8.7%","83.3%","16.7%"
"Rondale Moore","2021","275","15.3%","9.1%","6.2%","66.5%","18.2%","81.8%","18.2%"
"Terrace Marshall","2021","342","38.9%","21.3%","17.5%","59.9%","1.2%","66.4%","33.6%"
"A.J. Brown","2021","409","68.9%","29.1%","39.9%","26.9%","4.2%","61.6%","38.4%"
"Hunter Renfrow","2021","374","32.6%","15.5%","17.1%","64.2%","3.2%","73.3%","26.7%"
"Darnell Mooney","2021","438","55.0%","24.0%","31.1%","39.5%","5.5%","61.2%","38.8%"
"Michael Pittman","2021","488","85.0%","37.1%","48.0%","14.1%","0.8%","41.2%","58.8%"
"Gabriel Davis","2021","426","77.7%","43.2%","34.5%","21.6%","0.7%","28.9%","71.1%"
"Jerry Jeudy","2021","343","25.4%","14.9%","10.5%","66.2%","8.5%","68.5%","31.5%"
"Marquise Brown","2021","475","74.1%","19.2%","54.9%","21.9%","4.0%","56.2%","43.8%"
"CeeDee Lamb","2021","476","74.8%","42.9%","31.9%","24.6%","0.6%","34.9%","65.1%"
"Deebo Samuel","2021","428","64.5%","28.5%","36.0%","20.6%","15.0%","50.5%","49.5%"
"Justin Jefferson","2021","435","73.3%","37.9%","35.4%","23.9%","2.8%","31.5%","68.5%"
"Tee Higgins","2021","439","75.2%","32.3%","42.8%","18.7%","6.2%","59.2%","40.8%"
"Terry McLaurin","2021","492","75.8%","49.8%","26.0%","22.8%","1.4%","6.9%","93.1%"
"DK Metcalf","2021","392","79.6%","60.7%","18.9%","19.9%","0.5%","20.4%","79.6%"
"Brandon Aiyuk","2021","435","80.7%","44.4%","36.3%","17.2%","2.1%","15.9%","84.1%"
"Diontae Johnson","2021","470","93.8%","48.9%","44.9%","5.1%","1.1%","9.6%","90.4%"
"Chase Claypool","2021","460","80.9%","41.1%","39.8%","13.9%","5.2%","31.7%","68.3%"
"Van Jefferson","2021","464","63.4%","35.8%","27.6%","35.8%","5.0%","40.1%","59.9%"
"Mike Williams","2021","441","86.8%","50.3%","36.5%","13.2%","0.0%","22.7%","77.3%"
"Chris Godwin","2021","491","33.4%","14.7%","18.7%","61.5%","5.1%","73.5%","26.5%"
"Robert Woods","2021","510","55.1%","16.7%","38.4%","31.0%","13.9%","75.3%","24.7%"
"DeAndre Hopkins","2021","483","87.4%","82.0%","5.4%","12.4%","0.2%","39.5%","60.5%"
"Cooper Kupp","2021","461","28.0%","16.1%","11.9%","64.6%","7.4%","70.5%","29.5%"
"Tyreek Hill","2021","436","51.8%","27.1%","24.8%","44.3%","3.9%","38.8%","61.2%"
"Stefon Diggs","2021","452","81.0%","38.9%","42.0%","17.3%","1.8%","37.2%","62.8%"
"Tyler Lockett","2021","397","64.0%","11.6%","52.4%","31.2%","4.8%","58.4%","41.6%"
"D.J. Moore","2021","440","84.5%","43.0%","41.6%","13.9%","1.6%","20.5%","79.5%"
"Keenan Allen","2021","464","40.1%","18.1%","22.0%","54.5%","5.4%","59.5%","40.5%"
"Brandin Cooks","2021","401","74.8%","36.9%","37.9%","22.2%","3.0%","31.7%","68.3%"
"Mike Evans","2021","463","65.7%","45.4%","20.3%","34.3%","0.0%","15.1%","84.9%"
"Allen Lazard","2021","391","55.2%","27.1%","28.1%","36.3%","8.4%","57.5%","42.5%"
"Kenny Golladay","2021","437","82.2%","45.1%","37.1%","17.8%","0.0%","11.4%","88.6%"
"Tim Patrick","2021","398","69.8%","29.6%","40.2%","25.6%","4.5%","56.3%","43.7%"
"Tyler Boyd","2021","442","17.2%","9.7%","7.5%","79.9%","2.9%","62.2%","37.8%"
"Courtland Sutton","2021","463","89.4%","56.4%","33.0%","10.6%","0.0%","22.7%","77.3%"
"Jakobi Meyers","2021","441","39.5%","14.7%","24.7%","58.7%","1.8%","78.5%","21.5%"
"Julio Jones","2021","345","82.6%","51.9%","30.7%","17.1%","0.3%","24.3%","75.7%"
"Calvin Ridley*","2021","308","85.1%","48.7%","36.4%","14.3%","0.6%","18.5%","81.5%"
"Justin Jefferson","2020","475","79.2%","47.8%","31.4%","19.8%","1.1%","27.2%","72.8%"
"CeeDee Lamb","2020","421","7.9%","3.6%","4.3%","88.8%","3.3%","74.8%","25.2%"
"Allen Robinson","2020","461","73.5%","41.2%","32.3%","25.8%","0.7%","28.0%","72.0%"
"Chris Godwin","2020","480","39.0%","17.7%","21.3%","56.9%","4.2%","77.1%","22.9%"
"Will Fuller","2020","432","80.8%","47.5%","33.3%","19.0%","0.2%","6.7%","93.3%"
"Kenny Golladay*","2020","234","86.3%","51.7%","34.6%","13.7%","0.0%","14.1%","85.9%"
"Antonio Brown","2020","325","79.4%","30.8%","48.6%","19.4%","1.2%","68.3%","31.7%"
"Curtis Samuel","2020","404","24.5%","14.6%","9.9%","60.4%","15.1%","73.8%","26.2%"
"Corey Davis","2020","420","72.8%","28.3%","44.5%","23.6%","3.6%","51.7%","48.3%"
"JuJu Smith-Schuster","2020","469","20.9%","8.7%","12.2%","78.5%","0.6%","69.3%","30.7%"
"Nelson Agholor","2020","369","68.6%","43.9%","24.7%","30.1%","1.4%","25.2%","74.8%"
"T.Y. Hilton","2020","424","86.3%","45.3%","41.0%","13.4%","0.2%","29.2%","70.8%"
"Rashard Higgins","2020","380","86.3%","44.7%","41.6%","13.2%","0.5%","13.2%","86.8%"
"Marvin Jones","2020","448","70.1%","28.1%","42.0%","28.3%","1.6%","58.5%","41.5%"
"Denzel Mims","2020","438","81.5%","43.6%","37.9%","18.5%","0.0%","15.5%","84.5%"
"Henry Ruggs","2020","386","57.0%","22.5%","34.5%","35.0%","8.0%","65.3%","34.7%"
"Tee Higgins","2020","482","71.7%","28.8%","42.9%","24.9%","3.3%","59.8%","40.2%"
"Brandon Aiyuk","2020","510","78.9%","46.9%","32.0%","15.3%","5.9%","29.2%","70.8%"
"Michael Pittman","2020","467","79.4%","39.6%","39.8%","20.3%","0.2%","44.8%","55.2%"
"Jalen Reagor","2020","423","76.3%","37.1%","39.2%","20.1%","3.5%","48.5%","51.5%"
"Jerry Jeudy","2020","436","68.5%","44.0%","24.5%","30.0%","1.4%","45.0%","55.0%"
"LaViska Shenault","2020","389","67.6%","19.5%","48.1%","25.4%","6.9%","80.7%","19.3%"
"Chase Claypool","2020","340","73.8%","32.9%","40.9%","17.9%","8.2%","38.5%","61.5%"
"Darnell Mooney","2020","418","78.7%","34.7%","44.0%","15.8%","5.5%","64.6%","35.4%"
"Gabriel Davis","2020","448","76.3%","39.7%","36.6%","21.7%","2.0%","21.2%","78.8%"
"Julio Jones","2020","447","82.7%","46.5%","36.2%","17.2%","0.0%","23.3%","76.7%"
"Diontae Johnson","2020","479","89.8%","47.6%","42.2%","9.6%","0.6%","22.5%","77.5%"
"A.J. Brown","2020","420","86.0%","54.3%","31.7%","13.1%","1.0%","17.4%","82.6%"
"Calvin Ridley","2020","453","87.7%","37.1%","50.6%","11.3%","1.1%","46.6%","53.4%"
"Marquise Brown","2020","377","76.1%","33.7%","42.4%","20.7%","3.2%","44.6%","55.4%"
"D.J. Moore","2020","428","78.0%","45.1%","32.9%","21.3%","0.7%","21.5%","78.5%"
"DK Metcalf","2020","480","82.0%","53.5%","28.5%","17.7%","0.2%","24.4%","75.6%"
"D.J. Chark","2020","425","79.1%","48.5%","30.6%","20.9%","0.0%","14.1%","85.9%"
"Terry McLaurin","2020","476","76.3%","49.6%","26.7%","20.6%","3.2%","10.3%","89.7%"
"Deebo Samuel*","2020","319","66.5%","27.6%","38.9%","21.9%","11.6%","51.7%","48.3%"
"Michael Gallup","2020","519","95.0%","51.6%","43.4%","5.0%","0.0%","21.6%","78.4%"
"Odell Beckham*","2020","325","88.3%","47.1%","41.2%","11.1%","0.6%","20.0%","80.0%"
"Michael Thomas","2020","413","76.8%","46.0%","30.8%","22.8%","0.5%","29.5%","70.5%"
"Mike Williams","2020","487","83.4%","42.1%","41.3%","16.4%","0.2%","41.5%","58.5%"
"Robby Anderson","2020","424","66.5%","30.2%","36.3%","31.4%","2.1%","62.5%","37.5%"
"Davante Adams","2020","482","73.7%","37.6%","36.1%","22.6%","3.7%","29.9%","70.1%"
"Tyreek Hill","2020","478","41.8%","21.5%","20.3%","54.8%","3.3%","41.2%","58.8%"
"Stefon Diggs","2020","482","73.4%","34.6%","38.8%","25.3%","1.2%","35.5%","64.5%"
"DeAndre Hopkins","2020","510","89.8%","81.2%","8.6%","8.6%","1.6%","36.5%","63.5%"
"Adam Thielen","2020","438","71.0%","30.6%","40.4%","25.3%","3.7%","58.4%","41.6%"
"Tyler Lockett","2020","509","43.4%","17.3%","26.1%","52.1%","4.5%","65.2%","34.8%"
"Mike Evans","2020","440","66.4%","33.9%","32.5%","33.6%","0.0%","19.3%","80.7%"
"Keenan Allen","2020","530","49.5%","27.2%","22.3%","50.0%","0.6%","57.4%","42.6%"
"Robert Woods","2020","493","58.0%","16.4%","41.6%","34.5%","7.5%","61.3%","38.7%"
"Amari Cooper","2020","444","70.2%","28.8%","41.4%","27.0%","2.7%","83.3%","16.7%"
"Cooper Kupp","2020","420","41.6%","22.6%","19.0%","51.9%","6.4%","67.4%","32.6%"
"Jakobi Meyers","2020","443","48.7%","16.9%","31.8%","47.2%","4.1%","72.9%","27.1%"
"A.J. Brown","2019","374","88.8%","59.4%","29.4%","9.9%","1.3%","15.8%","84.2%"
"Adam Thielen","2019","425","65.7%","28.5%","37.2%","30.6%","3.8%","62.8%","37.2%"
"Allen Robinson","2019","490","64.4%","32.0%","32.4%","34.9%","0.6%","38.0%","62.0%"
"Alshon Jeffery","2019","452","87.2%","56.0%","31.2%","12.8%","0.0%","11.9%","88.1%"
"Amari Cooper","2019","458","81.6%","36.0%","45.6%","16.2%","2.2%","69.9%","30.1%"
"Anthony Miller","2019","438","22.8%","12.1%","10.7%","76.5%","0.7%","59.6%","40.4%"
"Brandin Cooks","2019","423","73.0%","58.6%","14.4%","22.2%","4.7%","21.0%","79.0%"
"Calvin Ridley","2019","481","85.1%","31.0%","54.1%","13.1%","1.9%","59.5%","40.5%"
"Chris Godwin","2019","545","42.9%","19.6%","23.3%","52.8%","4.2%","72.5%","27.5%"
