"field","data_type","description"
"receiving_yards_after_catch","numeric","Yards after the catch gained on plays in which player was receiver (this is an unofficial stat and may differ slightly between different sources)."
"receiving_first_downs","numeric","Total number of first downs gained on receptions"
"receiving_epa","numeric","Total EPA on plays where this receiver was targeted"
"receiving_2pt_conversions","numeric","Two-point conversion receptions"
"racr","numeric","Receiving (yards) Air (yards) Conversion Ratio - the number of receiving yards per air yards targeted per game"
"target_share","numeric","Player's share of team receiving targets in this game"
"air_yards_share","numeric","Player's share of the team's air yards in this game"
"wopr","numeric","Weighted OPportunity Rating - 1.5 x target_share + 0.7 x air_yards_share - a weighted average that contextualizes total fantasy usage."
"special_teams_tds","numeric","Total number of kick/punt return touchdowns"
"def_tackles_solo","numeric","Total number of solo tackles for this player"
"def_tackles_with_assist","numeric","Number of tackles this player had with an assisted tackle"
"def_tackle_assists","numeric","Number of assisted tackles for this player"
"def_tackles_for_loss","numeric","Number of tackles for loss (TFL) for this player"
"def_tackles_for_loss_yards","numeric","Yards lost from TFLs involving this player"
"def_fumbles_forced","numeric","Number of times a fumble was forced from this player"
"def_sacks","numeric","Number of sacks form this player"
"def_sack_yards","numeric","Yards lost from sacks forced by this player"
"def_qb_hits","numeric","Number of QB hits from this player (should not include plays where the QB was sacked)"
"def_interceptions","numeric","Number of interceptions forced by this player"
"def_interception_yards","numeric","yards gained/lost by interception returns from this player"
"def_pass_defended","numeric","Number of passes defended/broken up by this player"
"def_tds","numeric","Number of defensive touchdowns scored by this player"
"def_fumbles","numeric","Number of fumbles by this player"
"def_safeties","numeric","Number of safeties forced by this player"
"misc_yards","numeric","Miscellaneous yards attributed to this player"
"fumble_recovery_own","numeric","Number of the player's own team fumbles recovered"
"fumble_recovery_yards_own","numeric","Yards gained/lost on own fumble recoveries"
"fumble_recovery_opp","numeric","Number of the opponent's fumbles recovered"
"fumble_recovery_yards_opp","numeric","Yardage on opponent fumble recoveries"
"fumble_recovery_tds","numeric","Fumbles recovered and advanced for a touchdown"
"penalties","numeric","Number of penalties attributed to this player"
"penalty_yards","numeric","Penalty yardage on penalties attributed to this player"
"punt_returns","numeric","Count of punt returns by this player"
"punt_return_yards","numeric","Yards gained on punts returned by this player"
"kickoff_returns","numeric","Count of kick returns by this player"
"kickoff_return_yards","numeric","Yards gained on kick returns by this player"
"fg_made","numeric","Count of field goals made by this player"
"fg_att","numeric","Count of field goals attempted by this player"
"fg_missed","numeric","Count of field goals missed by this player"
"fg_blocked","numeric","Count of field goals attempted by this player that were blocked"
"fg_long","numeric","Longest successful field goal made by this player"
"fg_pct","numeric","Percentage of field goals successfully made"
"fg_made_0_19","numeric","Count of field goals within 0-19 yards made by this player"
"fg_made_20_29","numeric","Count of field goals within 20-29 yards made by this player"
"fg_made_30_39","numeric","Count of field goals within 30-39 yards made by this player"
"fg_made_40_49","numeric","Count of field goals within 40-49 yards made by this player"
"fg_made_50_59","numeric","Count of field goals within 50-59 yards made by this player"
"fg_made_60_","numeric","Count of field goals over 60 yards made by this player"
"fg_missed_0_19","numeric","Count of field goals missed between 0-19 yards by this player"
"fg_missed_20_29","numeric","Count of field goals missed between 20-29 yards by this player"
"fg_missed_30_39","numeric","Count of field goals missed between 30-39 yards by this player"
"fg_missed_40_49","numeric","Count of field goals missed between 40-49 yards by this player"
"fg_missed_50_59","numeric","Count of field goals missed between 50-59 yards by this player"
"fg_missed_60_","numeric","Count of field goals missed over 60 yards by this player"
"fg_made_list","character","Comma-separated string listing lengths of field goals made"
"fg_missed_list","character","Comma-separated string listing lengths of field goals missed"
"fg_blocked_list","character","Comma-separated string listing lengths of field goals blocked"
"fg_made_distance","numeric","Total distance on field goals made"
"fg_missed_distance","numeric","Total distance on field goals missed"
"fg_blocked_distance","numeric","Total distance on field goals blocked"
"pat_made","numeric","Count of extra point kicks made"
"pat_att","numeric","Count of extra point kicks attempted"
"pat_missed","numeric","Count of extra point kicks missed"
"pat_blocked","numeric","Count of extra point kicks blocked"
"pat_pct","numeric","Percentage of extra point kicks successfully completed"
"gwfg_made","numeric","Count of game winning field goals made"
"gwfg_att","numeric","Count of game winning field goals attempted"
"gwfg_missed","numeric","Count of game winning field goals missed"
"gwfg_blocked","numeric","Count of game winning field goals blocked"
"gwfg_distance","numeric","Total distance on game winning field goals completed"
"fantasy_points","numeric","Standard fantasy points."
"fantasy_points_ppr","numeric","PPR fantasy points."
