player_id,mfl_id,gsis_id,sleeper_id,espn_id,yahoo_id,pfr_id,fantasypros_id,pff_id,cbs_id,ktc_id,sportradar_id,fleaflicker_id,rotowire_id,rotoworld_id,stats_id,stats_global_id,fantasy_data_id,swish_id,cfbref_id,nfl_id,name,merge_name,name_last_first,position,team,birthdate,draft_year,xref_correction_status
20,17049,00-0040078,12455,4596602,,SmitBr09,27259,143951,26694196,1749,3170164a-1718-4a39-9ef2-e18104e35fef,,18529,,42012,0,,,,58433,Brashard Smith,brashard smith,"Smith, Brashard",RB,KCC,2003-04-11,2025,original
21,17050,00-0040205,12516,4429121,,MullKa00,27045,129590,3169471,1750,9983d47b-c955-4546-882f-4bd2a2a5ad42,,18463,,41986,0,,,,58393,Kalel Mullings,kalel mullings,"Mullings, Kalel",RB,TEN,2002-10-04,2025,original
22,17051,00-0040784,12512,4685702,,JudkQu00,25391,157128,28878286,1751,268c6ae2-278b-49f8-b7cd-b367944412f3,,18516,,41821,0,,,,58241,Quinshon Judkins,quinshon judkins,"Judkins, Quinshon",RB,CLE,2003-10-29,2025,original
23,17052,00-0040719,12490,4882093,,TuteBh00,27297,150568,26732838,1752,26d4b13e-a555-4519-9356-cd16c65384e7,,18524,,41900,0,,,,58309,Bhayshul Tuten,bhayshul tuten,"Tuten, Bhayshul",RB,JAC,2003-02-14,2025,original
24,17053,00-0040583,12474,4429059,,MarkWo00,27520,124179,3171045,1753,b900661b-b5df-47c8-819d-bb13b106a60b,,18449,,41902,0,,,,58321,Woody Marks,woody marks,"Marks, Woody",RB,HOU,2000-12-29,2025,original
25,17054,00-0040651,12462,4808830,,MartDa02,25976,162437,28873395,1754,487da97d-a1e8-4a1f-9b43-085944ea1a44,,18528,,42015,0,,,,58428,Damien Martinez,damien martinez,"Martinez, Damien",RB,SEA,2004-01-31,2025,original
26,17055,00-0040177,12467,4685397,,JameJo01,27310,163295,28916212,1755,c16040c3-7534-4eeb-956c-8ed3be9972ec,,18485,,41933,0,,,,58352,Jordan James,jordan james,"James, Jordan",RB,SFO,2004-03-29,2025,original
27,17056,00-0040644,12531,4685350,,EtieTr01,25393,157730,28901419,1756,39e2d13c-0fb7-465f-ad8b-0b4bb73e1124,,18506,,41913,0,,,,58319,Trevor Etienne,trevor etienne,"Etienne, Trevor",RB,CAR,2004-07-09,2025,original
28,17057,00-0040400,12515,4431536,,,23014,144917,26697211,,162f3110-24fe-11f0-9c33-270dfe4c58dc,,18444,,42226,0,,,,58841,Donovan Edwards,donovan edwards,"Edwards, Donovan",RB,WAS,2003-02-25,2025,original
29,17058,00-0040208,12543,4429299,,BrooTa00,26212,123133,3168518,1758,8d50af87-f6dc-42cb-a7e7-11716667a1dc,,18519,,41983,0,,,,58398,Tahj Brooks,tahj brooks,"Brooks, Tahj",RB,CIN,2002-05-13,2025,original
30,17059,00-0040198,12495,4711533,,GordOl00,25984,157792,28873887,1759,42753bb4-a416-4d40-bf81-f20d2181be2f,,18450,,41969,0,,,,58384,Ollie Gordon,ollie gordon,"Gordon, Ollie",RB,MIA,2004-01-15,2025,original
31,17060,00-0040179,12471,4874509,,GiddDJ00,27097,144595,26695679,1760,73ffa6e6-7fb3-4f34-a856-38bfd62cca15,,18443,,41937,0,,,,58356,DJ Giddens,dj giddens,"Giddens, DJ",RB,IND,2003-08-26,2025,original
32,17061,00-0040238,12544,4911851,,AlleLe01,27285,158290,28877884,1761,14aedd06-41a6-41db-8c5e-05483f91570d,,18476,,42007,0,,,,58441,LeQuint Allen,lequint allen,"Allen, LeQuint",RB,JAC,2004-08-05,2025,original
33,17062,00-0040466,12472,4601080,,SandRa00,24351,146626,26700087,,09b7c5d0-23ca-11f0-97f8-1902f784caec,,18526,,42139,0,,,,58911,Raheim Sanders,raheim sanders,"Sanders, Raheim",RB,CLE,2002-06-08,2025,original
34,17063,00-0040021,12738,4431562,,MafaPh00,22928,144123,26695049,1763,54b97d06-1639-46a3-9dcc-67320687281d,,18531,,42018,0,,,,58444,Phil Mafah,phil mafah,"Mafah, Phil",RB,DAL,2002-10-24,2025,original
35,17064,00-0040692,11569,4710341,,HuntJa03,24335,146662,26700820,1764,e71d4c32-3233-467f-ab01-71de34e5d9b4,,18523,,41919,0,,,,58322,Jarquez Hunter,jarquez hunter,"Hunter, Jarquez",RB,LAR,2002-12-29,2025,original
36,17066,00-0040236,12534,4608686,,MonaKy00,27131,129891,3177368,1766,6edec23b-f938-40f7-a151-1db5374880dd,,18520,,42025,0,,,,58438,Kyle Monangai,kyle monangai,"Monangai, Kyle",RB,CHI,2002-06-06,2025,original
37,17068,00-0040730,12489,4568490,,HarvRJ00,27142,99622,3121207,1768,fc6dbb83-b2b1-4962-b793-e79b2378b525,,18522,,41845,0,,,,58265,RJ Harvey,rj harvey,"Harvey, RJ",RB,DEN,2001-02-04,2025,original
38,17069,00-0040586,12457,4685279,,BlueJa01,24344,157303,28875227,1769,f5e6eb8e-2c76-4bf9-b47f-57c62659341d,,18499,,41935,0,,,,58354,Jaydon Blue,jaydon blue,"Blue, Jaydon",RB,DAL,2004-01-08,2025,original
39,17070,00-0040735,12519,4685278,,BurdLu00,27016,157170,28874444,1770,a4c21977-c9d1-40f8-abee-0862dfab9195,,18548,,41824,0,,,,58244,Luther Burden,luther burden,"Burden, Luther",WR,CHI,2003-12-12,2025,original
40,17071,00-0040124,12526,4685472,,McMiTe00,25417,158735,28877124,1771,874de000-586c-4999-ac12-02766563e200,,18547,,41793,0,,,,58210,Tetairoa McMillan,tetairoa mcmillan,"McMillan, Tetairoa",WR,CAR,2003-04-05,2025,original
41,17072,00-0040727,12509,4686612,,HarrTr03,26215,122676,3162525,1772,a45328a1-7d0e-451a-8176-ea30f0e1c86f,,18478,,41840,0,,,,58260,Tre Harris,tre harris,"Harris, Tre",WR,LAC,2002-02-28,2025,original
42,17073,00-0040170,12499,4883647,,AyomEl00,27059,157263,28900714,1773,6c773a16-1a93-4845-a519-d56c85e0090f,,18552,,41904,0,,,,58341,Elic Ayomanor,elic ayomanor,"Ayomanor, Elic",WR,TEN,2003-06-03,2025,original
43,17074,00-0040718,12530,4685415,,HuntTr00,26034,160766,28909849,1774,4a975d4c-d7cd-45ef-b258-db45187140eb,,18578,,41787,0,,,,58204,Travis Hunter,travis hunter,"Hunter, Travis",WR,JAC,2003-05-18,2025,original
44,17075,00-0040667,12501,4701936,,GoldMa02,26024,156165,28874927,1775,d1963360-c011-4764-9a36-9e627073f68f,,18500,,41808,0,,,,58225,Matthew Golden,matthew golden,"Golden, Matthew",WR,GBP,2003-08-01,2025,original
45,17076,00-0040782,12503,4808839,,BondIs00,24371,163586,,,6ceb1330-795d-11f0-aadf-fbc926339e02,,18502,,42598,0,,,,59278,Isaiah Bond,isaiah bond,"Bond, Isaiah",WR,CLE,2004-03-15,2025,original
46,17077,00-0040522,12520,4431353,,RestXa00,27066,122220,3163221,1777,3ac9d7c0-2560-11f0-af22-1731557928d7,,18466,,42368,0,,,,58968,Xavier Restrepo,xavier restrepo,"Restrepo, Xavier",WR,TEN,2002-04-12,2025,original
47,17078,00-0040729,12483,4603186,,BechJa00,27224,146771,26700682,1778,01079767-a3a3-437d-b935-ea0ecb1fe68b,,18457,,41843,0,,,,58263,Jack Bech,jack bech,"Bech, Jack",WR,LVR,2002-12-18,2025,original
48,17079,00-0040237,12485,4608810,,JohnTe03,27147,123709,3161539,1779,ad756d40-39a0-4f5c-bbf5-f31f4c3ee0a6,,18484,,42030,0,,,,58440,Tez Johnson,tez johnson,"Johnson, Tez",WR,TBB,2002-05-18,2025,original
49,17080,00-0040138,12536,4586312,,NoelJa00,27122,125155,26697286,1780,c4bab22e-a89a-41f6-b03a-07073a72f41b,,18555,,41885,0,,,,58284,Jaylin Noel,jaylin noel,"Noel, Jaylin",WR,HOU,2002-09-04,2025,original
50,17081,00-0040129,12514,4567750,,EgbuEm01,23062,145055,26696165,1781,00cea287-1fa0-4584-803f-59f546ef8722,,18549,,41804,0,,,,58221,Emeka Egbuka,emeka egbuka,"Egbuka, Emeka",WR,TBB,2002-10-14,2025,original
51,17082,00-0040134,12492,4600981,,BryaPa00,27211,144800,26697415,1782,2858209e-4aa7-4539-9901-99a4d881229c,,18562,,41860,0,,,,58279,Pat Bryant,pat bryant,"Bryant, Pat",WR,DEN,2002-12-10,2025,original
52,17083,00-0040130,12484,4877706,,HiggJa00,27077,150240,26708551,1783,f55444a9-ccad-4343-bb03-caca6ea3de99,,18551,,41819,0,,,,58239,Jayden Higgins,jayden higgins,"Higgins, Jayden",WR,HOU,2002-12-15,2025,original
53,17084,00-0040653,12475,4431479,,WhitRi01,27186,129639,3169795,,f2e485f8-ba20-4c1c-b279-41dcdcb28d03,,18560,,42042,0,,,,58443,Ricky White,ricky white,"White, Ricky",WR,FA,2002-02-06,2025,original
54,17085,,12972,4431597,,,27455,,26733219,,1edb3290-2518-11f0-972e-efd9d03db8c5,,18651,,42279,0,,,,,Roc Taylor,roc taylor,"Taylor, Roc",WR,FA,2002-08-26,2025,original
55,17086,00-0040646,12505,5082630,,RoyaJa00,27076,163442,28924106,1786,0ef78810-a38b-4444-b3b9-fb8b293c567d,,18550,,41891,0,,,,58338,Jalen Royals,jalen royals,"Royals, Jalen",WR,KCC,2003-02-18,2025,original
56,17087,00-0040581,12541,4432775,,ThorDo00,27288,146547,26694424,1787,483606b2-c0c9-4da2-8fcf-73d2615756c7,,18558,,41892,0,,,,58313,Dont'e Thornton,donte thornton,"Thornton, Dont'e",WR,LVR,2002-11-30,2025,original
57,17088,00-0040311,12860,4426535,,WeasTh00,27222,98005,3124276,,277f6ff0-2442-11f0-ac20-e1591f73b631,,18645,,42161,0,,,,58747,Theo Wease,theo wease,"Wease, Theo",WR,MIA,2001-06-25,2025,original
58,17089,,12460,,,,27218,,,,483872b0-2630-11f0-b7f1-df7c830143e7,,18559,,,0,,,,,Antwane Wells,antwane wells,"Wells, Antwane",WR,NYG,2001-04-02,2025,original
59,17090,,13108,4430800,,,23063,,,,3e9fe6f0-2619-11f0-8447-731004665991,,17067,,42423,0,,,,,Julian Fleming,julian fleming,"Fleming, Julian",WR,FA,2000-12-19,2025,original
60,17091,00-0040315,12532,4431506,,BrooJa04,22887,146587,26702195,,0ed739f0-29de-11f0-9cc3-6301091945e0,,18561,,42482,0,,,,58751,Ja'Corey Brooks,jacorey brooks,"Brooks, Ja'Corey",WR,FA,2001-10-31,2025,original
61,17092,,13225,4587977,,,27450,,29052184,,71bd62b0-3ccb-11f0-b22b-71ee09ef21d6,,18468,,42545,0,,,,,Sam Brown,sam brown,"Brown, Sam",WR,FA,2002-08-15,2025,original
62,17093,,12810,4429184,,,26061,,3163150,,8a410ba0-23a5-11f0-8d5d-1b4f09989b68,,18570,,42111,0,,,,,Elijhah Badger,elijhah badger,"Badger, Elijhah",WR,FA,2001-08-15,2025,original
63,17095,,12488,4429056,,,27075,,3161851,,a6f8abf0-25f7-11f0-8ecb-77a06236c534,,18557,,42404,0,,,,,Kobe Hudson,kobe hudson,"Hudson, Kobe",WR,FA,2001-09-11,2025,original
64,17096,00-0040009,12482,4431487,,WillSa01,27144,123101,3161844,1796,06fb642c-b10b-4b23-966a-13668a7c4426,,18554,,41851,0,,,,58292,Savion Williams,savion williams,"Williams, Savion",WR,GBP,2001-11-22,2025,original
65,17097,00-0040154,12496,4565185,,FeltTa00,27182,144886,26702969,1797,1eeea030-3313-4aab-b33c-9f836710354a,,18553,,41859,0,,,,58307,Tai Felton,tai felton,"Felton, Tai",WR,MIN,2003-03-15,2025,original
66,17098,00-0040648,12497,4597703,,HortTo00,26022,128232,3165177,1798,66dd47a3-fb5d-434f-a580-b2069e2904f8,,17772,,41952,0,,,,58371,Tory Horton,tory horton,"Horton, Tory",WR,SEA,2002-11-29,2025,original
67,17099,00-0040189,12493,4595342,,GadsOr01,25997,144046,26727374,1799,6af50530-145a-4b34-946d-ce1a7f7d3166,,18481,,41951,0,,,,58370,Oronde Gadsden,oronde gadsden,"Gadsden, Oronde",TE,LAC,2003-06-25,2025,original
68,17100,00-0040551,12478,4570242,,NashNi00,27263,98679,3123884,,e3e4c450-2466-11f0-aa27-6de335b6b2a0,,18455,,42185,0,,,,58997,Nick Nash,nick nash,"Nash, Nick",WR,FA,2000-08-02,2025,original
69,17101,,12721,4431509,,,25413,,26694721,,557ec8cb-2700-4dcb-8d5e-db0e0e5a8ef5,,18563,,42020,0,,,,,Kaden Prather,kaden prather,"Prather, Kaden",WR,FA,2002-09-06,2025,original
70,17102,00-0040128,12518,4431459,,WarrTy00,26434,129798,3168800,1802,c8fe3913-1210-4142-b9c1-c119ef702ca5,,18534,,41799,0,,,,58216,Tyler Warren,tyler warren,"Warren, Tyler",TE,IND,2002-05-24,2025,original
71,17103,00-0040663,12506,5083076,,FannHa00,27050,163104,28900882,1803,8bdf2df7-b51c-4404-b153-8dc62b1e0845,,18472,,41877,0,,,,58272,Harold Fannin,harold fannin,"Fannin, Harold",TE,CLE,2004-07-20,2025,original
72,17104,00-0040126,12517,4723086,,LoveCo00,26006,158540,28874696,1804,62cd2cd5-8b40-4ee6-bfb8-0083edd105a2,,18460,,41795,0,,,,58212,Colston Loveland,colston loveland,"Loveland, Colston",TE,CHI,2004-04-09,2025,original
73,17105,00-0040584,12502,4686728,,HelmGu00,27109,144726,26696189,1805,beb69cba-f240-43ed-88d3-50d066cf55d4,,18503,,41905,0,,,,58325,Gunnar Helm,gunnar helm,"Helm, Gunnar",TE,TEN,2002-09-06,2025,original
74,17106,00-0040736,12498,4808766,,TaylMa02,26005,157122,28878064,1806,07d2be51-73c2-4f26-81d5-bc6e9b88bff2,,18535,,41827,0,,,,58247,Mason Taylor,mason taylor,"Taylor, Mason",TE,NYJ,2004-05-08,2025,original
75,17107,00-0040737,12487,4570037,,FergTe00,23091,146563,26701481,1807,fdfc7b8e-a202-4459-91f8-be6e053e5d29,,18497,,41831,0,,,,58251,Terrance Ferguson,terrance ferguson,"Ferguson, Terrance",TE,LAR,2003-03-07,2025,original
76,17108,00-0040739,12521,4678006,,ArroEl00,23004,143933,26700496,1808,98bc7c8c-e6e4-4694-a0ef-d3f25274223e,,18540,,41835,0,,,,58255,Elijah Arroyo,elijah arroyo,"Arroyo, Elijah",TE,SEA,2003-04-05,2025,original
77,17109,00-0040187,12473,4683243,,EvanMi01,27138,147486,26693662,,788b494d-d624-46ae-a956-81bd10f6a044,,18545,,41949,0,,,,58368,Mitchell Evans,mitchell evans,"Evans, Mitchell",TE,CAR,2003-03-18,2025,original
78,17110,,11594,,,,,,2965087,,,,18541,,,0,,,,,Brant Kuithe,brant kuithe,"Kuithe, Brant",TE,FA,,2025,original
79,17111,00-0040250,12725,4432338,,LachLu00,22977,129475,3163014,,eeb9ef87-859a-407b-a17a-c671dd6a863a,,18546,,42041,0,,,,58460,Luke Lachey,luke lachey,"Lachey, Luke",TE,FA,2001-06-29,2025,original
80,17112,00-0040677,12574,4725996,,CartAb00,27022,164160,28890311,,95fa8be3-3be8-45bb-9475-60a444e1af74,,18581,,41788,0,,,,58205,Abdul Carter,abdul carter,"Carter, Abdul",DE,NYG,2004-01-02,2025,original
81,17113,00-0040660,12602,4685623,,WillMy00,27013,157061,28877800,,b53b3aa5-5ef4-4d54-a4f1-8be678e980d2,,18584,,41796,0,,,,58213,Mykel Williams,mykel williams,"Williams, Mykel",DE,SFO,2004-06-29,2025,original
82,17114,00-0040756,12560,4685562,,StewSh00,27054,158675,28923420,,8343b537-2507-495f-b6ee-7ba6fe582c3d,,18655,,41802,0,,,,58219,Shemar Stewart,shemar stewart,"Stewart, Shemar",DE,CIN,2003-11-12,2025,original
83,17115,00-0040578,12585,5081394,,PearJa00,27018,163770,28912047,,1a3a8a05-9418-48ba-910e-db87caf00bfe,,18657,,41811,0,,,,58228,James Pearce,james pearce,"Pearce, James",DE,ATL,2003-10-12,2025,original
84,17116,00-0040160,12593,4431590,,SawyJa00,26115,145071,26693445,,2743d973-5944-460c-b17c-b1e029b11af9,,18659,,41909,0,,,,58328,Jack Sawyer,jack sawyer,"Sawyer, Jack",DE,PIT,2002-05-06,2025,original
85,17117,00-0040132,12580,4432715,,JackLa03,26146,146784,26694361,,0e8fa07d-6827-477a-acde-467568aa0c7d,,18663,,41852,0,,,,58277,Landon Jackson,landon jackson,"Jackson, Landon",DE,BUF,2003-01-02,2025,original
86,17118,00-0040580,12621,4682983,,StewJo03,,147092,26702426,,11a0dc4d-a8fa-44b4-a630-f2a0042268d6,,18662,,41853,0,,,,58295,Josaiah Stewart,josaiah stewart,"Stewart, Josaiah",DE,LAR,2003-04-26,2025,original
87,17119,00-0040746,12562,4833355,,ScouNi00,27020,162878,28921128,,3eebb324-cdd9-4c19-b1b8-1e7649fe0737,,18658,,41836,0,,,,58256,Nic Scourton,nic scourton,"Scourton, Nic",DE,CAR,2004-08-25,2025,original
88,17120,00-0040722,12571,4683188,,GreeMi02,,151084,26706090,,55b34ff0-64f3-43c1-9030-47f52b9ad394,,18779,,41844,0,,,,58264,Mike Green,mike green,"Green, Mike",DE,BAL,2003-07-28,2025,original
89,17121,00-0040685,12573,4873232,,GrahMa00,27010,158535,28873918,,5efacd9e-be9e-4711-8101-e5579ba3274f,,18461,,41790,0,,,,58207,Mason Graham,mason graham,"Graham, Mason",DT,CLE,2003-09-02,2025,original
90,17122,00-0040577,12568,4685597,,WalkJa02,,157070,28876549,,a1788f0e-f637-4333-846e-757b373b98a5,,18683,,41800,0,,,,58217,Jalon Walker,jalon walker,"Walker, Jalon",DE,ATL,2004-02-24,2025,original
91,17123,00-0040708,12566,4685287,,CampJi00,27051,157013,28875305,,d57e75e5-bd90-41be-97e9-c2d2cea5512b,,18718,,41816,0,,,,58233,Jihaad Campbell,jihaad campbell,"Campbell, Jihaad",LB,PHI,2004-02-24,2025,original
92,17124,00-0040157,12646,4431519,,CartBa00,26108,144109,26701571,,92ddcecf-9837-460b-9117-b3ec5447e356,,18720,,41906,0,,,,58324,Barrett Carter,barrett carter,"Carter, Barrett",LB,CIN,2002-10-23,2025,original
93,17125,00-0040738,12617,4427729,,KnigDe00,27299,99728,3122236,,f54f5e3b-da40-4296-a252-8e6a054b35ef,,18719,,41834,0,,,,58254,Demetrius Knight,demetrius knight,"Knight, Demetrius",LB,CIN,2000-01-04,2025,original
94,17126,00-0040155,12650,4683215,,StutDa00,27031,144632,26708377,,1dea6eaf-2631-4fa0-80a8-476bbd93af92,,18722,,41914,0,,,,58317,Danny Stutsman,danny stutsman,"Stutsman, Danny",LB,NOS,2003-03-10,2025,original
95,17127,00-0040751,12565,4685408,,JohnWi02,27009,158536,517294,,1a568fbe-4efb-4f67-9866-9b0b4e40b344,,18462,,41832,0,,,,58252,Will Johnson,will johnson,"Johnson, Will",CB,ARI,2003-03-29,2025,original
96,17128,00-0040720,12557,4430925,,BarrJa01,27063,123105,3168219,,75dd276d-df54-4264-893c-aab76f3ae9b2,,17773,,41805,0,,,,58222,Jahdae Barron,jahdae barron,"Barron, Jahdae",CB,DEN,2001-12-04,2025,original
97,17129,00-0040747,12576,4816107,,MorrBe00,27019,156968,28924605,,33859ece-2c7f-4fe2-9c16-aff3c1e0b9e0,,18590,,41838,0,,,,58258,Benjamin Morrison,benjamin morrison,"Morrison, Benjamin",CB,TBB,2004-03-11,2025,original
98,17130,00-0040731,12595,4574689,,AmosTr00,27150,122628,3164271,,84d2fb0a-3277-49e4-8625-9640923f33ea,,18588,,41846,0,,,,58266,Trey Amos,trey amos,"Amos, Trey",CB,WAS,2002-03-03,2025,original
99,17131,00-0040148,12591,4431005,,WattXa00,27067,122914,3161550,,c28798ce-a253-434d-b312-7c95449fcb63,,18616,,41883,0,,,,58301,Xavier Watts,xavier watts,"Watts, Xavier",S,ATL,2001-11-22,2025,original
100,17132,00-0040688,12567,4685530,,StarMa00,27017,157069,28876050,,5a92d12b-a8df-47fb-9d07-93a042702a36,,18619,,41812,0,,,,58229,Malaki Starks,malaki starks,"Starks, Malaki",S,BAL,2003-11-13,2025,original
101,17133,00-0040003,12548,5277116,,KrieLe00,,197939,29711189,,55829920-0b8a-11f0-a333-294d3ecf3d4d,,18774,,41782,0,,,,58180,Lenny Krieg,lenny krieg,"Krieg, Lenny",PK,FA,2002-08-05,2025,original
102,17134,00-0040131,12547,4613202,,WillKy03,27487,128374,3167684,1812,3aa9330e-5201-4e99-ba55-0102f76bfe05,,19126,,41864,0,,,,58274,Kyle Williams,kyle williams,"Williams, Kyle",WR,NEP,2002-11-13,2025,original
103,17135,00-0040725,12556,4683848,,EzeiDo00,27033,143824,26701231,,31076b50-c01e-4cce-9898-8bd2b04cf6e4,,18656,,41829,0,,,,58249,Donovan Ezeiruaku,donovan ezeiruaku,"Ezeiruaku, Donovan",DE,DAL,2003-09-25,2025,original
104,17136,00-0040706,12552,4685503,,NoleWa00,27030,158666,28923687,,ec3a8edd-eda6-4cff-bd71-088a105f8a5a,,18490,,41801,0,,,,58218,Walter Nolen,walter nolen,"Nolen, Walter",DT,ARI,2003-10-14,2025,original
105,17137,00-0040678,12561,4682980,,HarmDe01,27029,144962,26717385,,1fd56b66-3c11-4664-bb80-f0594f915923,,18489,,41806,0,,,,58223,Derrick Harmon,derrick harmon,"Harmon, Derrick",DT,PIT,2003-08-03,2025,original
106,17138,00-0040127,12564,4894654,,GranKe01,27025,162816,28927564,,b785d238-2bb5-4265-8559-a78646273ae7,,18583,,41798,0,,,,58215,Kenneth Grant,kenneth grant,"Grant, Kenneth",DT,MIA,2003-10-27,2025,original
107,17139,00-0040724,12612,4684527,,SandTJ00,,146925,26723652,,78c91cbd-e8ab-42f9-bf92-6bc5f98a09f7,,18689,,41826,0,,,,58246,T.J. Sanders,tj sanders,"Sanders, T.J.",DT,BUF,2003-07-30,2025,original
108,17140,00-0040013,12667,4431573,,MondSm01,26114,146725,26696015,,980ab578-c9d3-4ba5-912d-b723e5b6a0fb,,18721,,41947,0,,,,58366,Smael Mondon,smael mondon,"Mondon, Smael",LB,PHI,2003-02-13,2025,original
109,17141,00-0040709,12596,4688931,,HairMa00,27070,146746,26702396,,fee39f7c-63e9-4377-969f-a3e6aa520ebb,,18587,,41815,0,,,,58232,Maxwell Hairston,maxwell hairston,"Hairston, Maxwell",CB,BUF,2003-08-06,2025,original
110,17142,00-0040008,12559,5095865,,ReveSh00,,162653,28924259,,385fc1f3-4dca-476d-85a6-c02929e8fc8c,,18580,,41863,0,,,,58281,Shavon Revel,shavon revel,"Revel, Shavon",CB,DAL,2001-04-08,2025,original
