transaction_id,season,faad_award_sequence
1174,2020,72
1175,2020,73
1176,2020,74
1179,2020,75
1180,2020,76
1181,2020,77
1182,2020,78
1183,2020,79
1184,2020,80
1185,2020,81
1187,2020,82
1188,2020,83
1189,2020,84
1190,2020,85
1191,2020,86
1193,2020,87
1194,2020,88
1195,2020,89
1196,2020,90
1197,2020,91
1200,2020,92
1692,2021,1
1693,2021,2
1694,2021,3
1695,2021,4
1696,2021,5
1697,2021,6
1698,2021,7
1699,2021,8
1700,2021,9
1701,2021,10
1702,2021,11
1703,2021,12
1704,2021,13
1705,2021,14
1706,2021,15
1707,2021,16
1708,2021,17
1709,2021,18
1710,2021,19
1711,2021,20
1712,2021,21
1713,2021,22
1714,2021,23
1715,2021,24
1716,2021,25
1717,2021,26
1718,2021,27
1719,2021,28
1720,2021,29
1721,2021,30
1722,2021,31
1723,2021,32
1724,2021,33
1725,2021,34
1726,2021,35
1727,2021,36
1728,2021,37
1729,2021,38
1730,2021,39
1731,2021,40
1732,2021,41
1733,2021,42
1734,2021,43
1735,2021,44
1736,2021,45
1737,2021,46
1738,2021,47
1739,2021,48
1740,2021,49
1741,2021,50
1742,2021,51
1743,2021,52
1744,2021,53
1745,2021,54
1746,2021,55
1747,2021,56
1748,2021,57
1749,2021,58
1750,2021,59
1751,2021,60
1752,2021,61
1753,2021,62
1754,2021,63
1755,2021,64
1756,2021,65
1757,2021,66
1758,2021,67
1759,2021,68
1760,2021,69
1761,2021,70
1762,2021,71
1763,2021,72
1764,2021,73
1765,2021,74
1766,2021,75
1767,2021,76
1768,2021,77
1769,2021,78
1770,2021,79
1771,2021,80
1772,2021,81
2240,2022,1
2241,2022,2
2242,2022,3
2243,2022,4
2244,2022,5
2245,2022,6
2246,2022,7
2247,2022,8
2248,2022,9
2249,2022,10
2250,2022,11
2251,2022,12
2252,2022,13
2253,2022,14
2254,2022,15
2255,2022,16
2256,2022,17
2257,2022,18
2258,2022,19
2259,2022,20
2260,2022,21
2261,2022,22
2262,2022,23
2263,2022,24
2264,2022,25
2265,2022,26
2267,2022,27
2268,2022,28
2269,2022,29
2270,2022,30
2271,2022,31
2272,2022,32
2274,2022,33
2275,2022,34
2276,2022,35
2278,2022,36
2279,2022,37
2281,2022,38
2282,2022,39
2283,2022,40
2284,2022,41
2285,2022,42
2287,2022,43
2288,2022,44
2289,2022,45
2290,2022,46
2291,2022,47
2292,2022,48
2293,2022,49
2295,2022,50
2296,2022,51
2297,2022,52
2298,2022,53
2299,2022,54
2300,2022,55
2302,2022,56
2303,2022,57
2305,2022,58
2306,2022,59
2308,2022,60
2309,2022,61
2311,2022,62
2312,2022,63
2313,2022,64
2314,2022,65
2315,2022,66
2316,2022,67
2317,2022,68
2755,2023,1
2756,2023,2
2757,2023,3
2758,2023,4
2759,2023,5
2760,2023,6
2761,2023,7
2762,2023,8
2763,2023,9
2764,2023,10
2765,2023,11
2767,2023,12
2768,2023,13
2769,2023,14
2771,2023,15
2772,2023,16
2773,2023,17
2774,2023,18
2775,2023,19
2776,2023,20
2777,2023,21
2778,2023,22
2779,2023,23
2780,2023,24
2781,2023,25
2782,2023,26
2783,2023,27
2784,2023,28
2785,2023,29
2786,2023,30
2787,2023,31
2789,2023,32
2790,2023,33
2791,2023,34
2794,2023,35
2795,2023,36
2796,2023,37
2798,2023,38
2799,2023,39
2801,2023,40
2802,2023,41
2804,2023,42
2805,2023,43
2806,2023,44
2807,2023,45
2808,2023,46
2809,2023,47
2810,2023,48
2811,2023,49
2812,2023,50
3317,2024,1
3318,2024,2
3319,2024,3
3320,2024,4
3321,2024,5
3322,2024,6
3323,2024,7
3324,2024,8
3325,2024,9
3326,2024,10
3328,2024,11
3329,2024,12
3330,2024,13
3331,2024,14
3332,2024,15
3333,2024,16
3334,2024,17
3335,2024,18
3336,2024,19
3337,2024,20
3339,2024,21
3340,2024,22
3341,2024,23
3342,2024,24
3343,2024,25
3344,2024,26
3345,2024,27
3346,2024,28
3349,2024,29
3351,2024,30
3352,2024,31
3353,2024,32
3354,2024,33
3355,2024,34
3356,2024,35
3357,2024,36
3360,2024,37
3763,2025,1
3764,2025,2
3765,2025,3
3766,2025,4
3767,2025,5
3768,2025,6
3769,2025,7
3770,2025,8
3771,2025,9
3772,2025,10
3773,2025,11
3774,2025,12
3775,2025,13
3778,2025,14
3780,2025,15
3781,2025,16
3782,2025,17
3783,2025,18
3784,2025,19
3785,2025,20
3787,2025,21
3789,2025,22
3790,2025,23
3791,2025,24
3792,2025,25
3793,2025,26
3794,2025,27
3795,2025,28
3796,2025,29
3797,2025,30
3798,2025,31
3799,2025,32
3800,2025,33
3801,2025,34
3802,2025,35
3803,2025,36
3804,2025,37
3806,2025,38
3807,2025,39
3808,2025,40
3809,2025,41
3810,2025,42
3811,2025,43
3812,2025,44
3814,2025,45
3815,2025,46
3817,2025,47
3819,2025,48
3820,2025,49
3821,2025,50
3822,2025,51
3823,2025,52
3824,2025,53
